codigo_tse,uf,nome_municipio,capital,codigo_ibge
1120,AC,ACRELÂNDIA,0,1200013
1570,AC,ASSIS BRASIL,0,1200054
1058,AC,BRASILÉIA,0,1200104
1007,AC,BUJARI,0,1200138
1015,AC,CAPIXABA,0,1200179
1074,AC,CRUZEIRO DO SUL,0,1200203
1112,AC,EPITACIOLÂNDIA,0,1200252
1139,AC,FEIJÓ,0,1200302
1104,AC,JORDÃO,0,1200328
1554,AC,MANOEL URBANO,0,1200344
1040,AC,MARECHAL THAUMATURGO,0,1200351
1090,AC,MÂNCIO LIMA,0,1200336
1511,AC,PLÁCIDO DE CASTRO,0,1200385
1023,AC,PORTO ACRE,0,1200807
1066,AC,PORTO WALTER,0,1200393
1392,AC,RIO BRANCO,1,1200401
1082,AC,RODRIGUES ALVES,0,1200427
1031,AC,SANTA ROSA DO PURUS,0,1200435
1457,AC,SENA MADUREIRA,0,1200500
1538,AC,SENADOR GUIOMARD,0,1200450
1473,AC,TARAUACÁ,0,1200609
1490,AC,XAPURI,0,1200708
27030,AL,ANADIA,0,2700201
27057,AL,ARAPIRACA,0,2700300
27073,AL,ATALAIA,0,2700409
27090,AL,BARRA DE SANTO ANTÔNIO,0,2700508
27111,AL,BARRA DE SÃO MIGUEL,0,2700607
27138,AL,BATALHA,0,2700706
27170,AL,BELO MONTE,0,2700904
27154,AL,BELÉM,0,2700805
27197,AL,BOCA DA MATA,0,2701001
27219,AL,BRANQUINHA,0,2701100
27235,AL,CACIMBINHAS,0,2701209
27251,AL,CAJUEIRO,0,2701308
27081,AL,CAMPESTRE,0,2701357
27278,AL,CAMPO ALEGRE,0,2701407
27294,AL,CAMPO GRANDE,0,2701506
27316,AL,CANAPI,0,2701605
27332,AL,CAPELA,0,2701704
27359,AL,CARNEIROS,0,2701803
27375,AL,CHÃ PRETA,0,2701902
27391,AL,COITÉ DO NÓIA,0,2702009
27413,AL,COLÔNIA LEOPOLDINA,0,2702108
27430,AL,COQUEIRO SECO,0,2702207
27456,AL,CORURIPE,0,2702306
28894,AL,CRAÍBAS,0,2702355
27472,AL,DELMIRO GOUVEIA,0,2702405
27499,AL,DOIS RIACHOS,0,2702504
27049,AL,ESTRELA DE ALAGOAS,0,2702553
27510,AL,FEIRA GRANDE,0,2702603
27537,AL,FELIZ DESERTO,0,2702702
27553,AL,FLEXEIRAS,0,2702801
