Espectro,SG_PARTIDO_TR,SG_PARTIDO,NR_PARTIDO
centro,AVANTE,AVANTE,70
direita,DC,DC,27
direita,DEM,DEM,25
centro,MDB,MDB,15
direita,NOVO,NOVO,30
direita,PATRIOTA,PATRIOTA,51
esquerda,PCB,PCB,21
esquerda,PCDOB,PC do B,65
esquerda,PCO,PCO,29
esquerda,PDT,PDT,12
direita,PL,PL,22
direita,PMB,PMB,35
esquerda,PMN,PMN,33
direita,PODE,PODE,19
direita,PP,PP,11
esquerda,CIDADANIA,CIDADANIA,23
direita,REPUBLICANOS,REPUBLICANOS,10
centro,PROS,PROS,90
direita,PRTB,PRTB,28
esquerda,PSB,PSB,40
direita,PSC,PSC,20
direita,PSD,PSD,55
centro,PSDB,PSDB,45
direita,PSL,PSL,17
esquerda,PSOL,PSOL,50
esquerda,PSTU,PSTU,16
esquerda,PT,PT,13
direita,PTB,PTB,14
direita,PTC,PTC,36
esquerda,PV,PV,43
esquerda,REDE,REDE,18
centro,SOLIDARIEDADE,SOLIDARIEDADE,77
esquerda,UP,UP,80
