NM_URNA_CANDIDATO,NM_MUNICIPIO,CD_MUNICIPIO,DS_SIT_TOT_TURNO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS,Espectro
BRUNO COVAS,SÃO PAULO,71072,2º TURNO,45,PSDB,1754013,centro
PAULO SERRA,SANTO ANDRÉ,70572,ELEITO,45,PSDB,266591,centro
ORLANDO MORANDO,SÃO BERNARDO DO CAMPO,70750,ELEITO,45,PSDB,261761,centro
FELICIO,SÃO JOSÉ DOS CAMPOS,70998,ELEITO,45,PSDB,204800,centro
ALVARO DIAS,NATAL,17612,ELEITO,45,PSDB,194764,centro
RUBENS FURLAN,BARUERI,62138,ELEITO,45,PSDB,145377,centro
LUIZ FERNANDO MACHADO,JUNDIAÍ,66192,ELEITO,45,PSDB,134793,centro
MARCOS NEVES,CARAPICUÍBA,63134,ELEITO,45,PSDB,128773,centro
DUARTE NOGUEIRA,RIBEIRÃO PRETO,69698,2º TURNO,45,PSDB,115724,centro
RAQUEL LYRA,CARUARU,23817,ELEITO,45,PSDB,114466,centro
ROGÉRIO SANTOS,SANTOS,70718,ELEITO,45,PSDB,101268,centro
MARCUS MELO,MOGI DAS CRUZES,67130,2º TURNO,45,PSDB,81555,centro
ROBERTO PESSOA,MARACANAÚ,15857,ELEITO,45,PSDB,78859,centro
PAULA MASCARENHAS,PELOTAS,87912,2º TURNO,45,PSDB,78599,centro
HILDON CHAVES,PORTO VELHO,35,2º TURNO,45,PSDB,74728,centro
SALVARO,CRICIÚMA,80896,ELEITO,45,PSDB,71615,centro
SOLANGE FREITAS,SÃO VICENTE,71218,2º TURNO,45,PSDB,67558,centro
SUZANA RAMOS,JUAZEIRO,36692,ELEITO,45,PSDB,64229,centro
PARDINI,BOTUCATU,62499,ELEITO,45,PSDB,58541,centro
BARJAS NEGRI,PIRACICABA,68756,2º TURNO,45,PSDB,56760,centro
RAQUEL CHINI,PRAIA GRANDE,69213,2º TURNO,45,PSDB,55204,centro
DANIEL ALONSO,MARÍLIA,66818,ELEITO,45,PSDB,55060,centro
IZAIAS SANTANA,JACAREÍ,65897,ELEITO,45,PSDB,53978,centro
FATIMA DAUDT,NOVO HAMBURGO,87718,ELEITO,45,PSDB,51467,centro
ANDRE MERLO,GOVERNADOR VALADARES,45535,2º TURNO,45,PSDB,49183,centro
ENGENHEIRO DANIEL,TABOÃO DA SERRA,71579,2º TURNO,45,PSDB,46350,centro
CINTHIA RIBEIRO,PALMAS,73440,ELEITO,45,PSDB,46243,centro
DR MARCOS VINICIUS,CORONEL FABRICIANO,43877,ELEITO,45,PSDB,46060,centro
DILADOR BORGES,ARAÇATUBA,61557,ELEITO,45,PSDB,41161,centro
HELIO PELUFFO FILHO,PONTA PORÃ,91316,ELEITO,45,PSDB,40305,centro
RAIMUNDÃO,BRAGANÇA,4332,ELEITO,45,PSDB,38481,centro
CLEBER FONTANA,FRANCISCO BELTRÃO,75655,ELEITO,45,PSDB,37472,centro
DR. WILSINHO,SERTÃOZINHO,71358,ELEITO,45,PSDB,35343,centro
MARCOS TONHO,SANTANA DE PARNAÍBA,70475,ELEITO,45,PSDB,33828,centro
ANGELO GUERREIRO,TRÊS LAGOAS,91650,ELEITO,45,PSDB,33331,centro
MARIA JOSE GONZAGA,TATUÍ,71811,ELEITO,45,PSDB,31861,centro
VANDER MASSON,TANGARÁ DA SERRA,91855,ELEITO,45,PSDB,31606,centro
SERGIO AZEVEDO,POÇOS DE CALDAS,50350,ELEITO,45,PSDB,30674,centro
ARI LAFIN,SORRISO,98930,ELEITO,45,PSDB,30179,centro
GENIVAL,SANTO ANTÔNIO DE JESUS,38733,ELEITO,45,PSDB,29361,centro
ILCE ROCHA,VESPASIANO,54259,ELEITO,45,PSDB,26596,centro
FRANCINETI CARVALHO,ABAETETUBA,4014,ELEITO,45,PSDB,26153,centro
PEDRINHO ELISEU,ARARAS,61654,ELEITO,45,PSDB,25697,centro
PROFESSOR RODOLFO,VÁRZEA PAULISTA,72338,ELEITO,45,PSDB,25319,centro
ADEMARIO,CUBATÃO,63711,ELEITO,45,PSDB,25297,centro
PACHECO,CONCÓRDIA,80837,ELEITO,45,PSDB,25280,centro
BRANQUINHO,UNAÍ,54070,ELEITO,45,PSDB,25126,centro
MARIO CELSO,ANDRADINA,61417,ELEITO,45,PSDB,24960,centro
PROF VALDIR BONATTO,VIAMÃO,89630,ELEITO,45,PSDB,23957,centro
DOUTOR SATO,JANDIRA,66010,ELEITO,45,PSDB,23586,centro
SYLVINHO BALLERINI,LORENA,66451,ELEITO,45,PSDB,23530,centro
FELIPE AUGUSTO,SÃO SEBASTIÃO,71153,ELEITO,45,PSDB,23501,centro
MARCIA BIN ESPOSA DO TESTINHA,POÁ,68977,ELEITO,45,PSDB,23446,centro
EDSON MAGALHÃES,GUARAPARI,56472,ELEITO,45,PSDB,23068,centro
SAULO SPEROTTO,CAÇADOR,80578,ELEITO,45,PSDB,21469,centro
ALADIM,MAIRIPORÃ,66710,ELEITO,45,PSDB,21315,centro
MARCELO IUNES,CORUMBÁ,90638,ELEITO,45,PSDB,21208,centro
JORGE SEBA,VOTUPORANGA,72451,ELEITO,45,PSDB,21184,centro
PADRE OSVALDO,CATANDUVA,63231,ELEITO,45,PSDB,20981,centro
DANIEL SANTANA,SÃO MATEUS,56979,ELEITO,45,PSDB,20899,centro
DR THOMAS,ITATIBA,65692,ELEITO,45,PSDB,20503,centro
ANDRÉ MOSER,INDAIAL,81477,ELEITO,45,PSDB,20299,centro
ALDO,CERQUILHO,63312,ELEITO,45,PSDB,19430,centro
TIAGO CERVANTES,ITANHAÉM,65439,ELEITO,45,PSDB,19368,centro
JOÃO GONÇALVES JR,JARU,159,ELEITO,45,PSDB,19357,centro
DIOGO SIQUEIRA,BENTO GONÇALVES,85413,ELEITO,45,PSDB,19105,centro
LUTH REBELO,BREVES,4359,NÃO ELEITO,45,PSDB,18701,centro
RICARDO RAMOS,OURICURI,24970,ELEITO,45,PSDB,17976,centro
ODILON RIBEIRO,AQUIDAUANA,90212,ELEITO,45,PSDB,17939,centro
JACÓ MACIEL,QUEIMADAS,21512,NÃO ELEITO,45,PSDB,17675,centro
DR MARCELO,ITAMARAJU,36137,ELEITO,45,PSDB,17592,centro
AMADEU,VACARIA,89532,ELEITO,45,PSDB,17527,centro
TOMAZINI,SÃO BENTO DO SUL,83119,ELEITO,45,PSDB,17288,centro
JOAQUIM GUILHERME,MORRINHOS,94730,ELEITO,45,PSDB,17284,centro
CARLÃO DA FOX,GOIANIRA,93750,ELEITO,45,PSDB,17280,centro
ALBERTO CASTRO,DIAS D ÁVILA,30872,ELEITO,45,PSDB,16922,centro
IVO FERREIRA,CAMAQUÃ,85693,ELEITO,45,PSDB,16881,centro
CAIO MATHEUS,BERTIOGA,61280,ELEITO,45,PSDB,15137,centro
JORGE DERBLI,IRATI,76074,ELEITO,45,PSDB,14975,centro
FABIOLA ALVES,VOTORANTIM,72435,ELEITO,45,PSDB,14719,centro
MARCUS DIOGO,GUARABIRA,20273,ELEITO,45,PSDB,14646,centro
JOÃO GUALBERTO,MATA DE SÃO JOÃO,37214,ELEITO,45,PSDB,14470,centro
DR TADEU,CAICÓ,16390,ELEITO,45,PSDB,14248,centro
AMARILDO,VARGEM GRANDE DO SUL,72311,ELEITO,45,PSDB,14002,centro
CLENILTON PEREIRA,ARAQUARI,80250,ELEITO,45,PSDB,13787,centro
MAURA JORGE,LAGO DA PEDRA,8133,ELEITO,45,PSDB,13428,centro
THIAGO SILVA,SÃO PEDRO,71099,ELEITO,45,PSDB,12851,centro
VANDERLEI MÁRSICO,TAQUARITINGA,71757,ELEITO,45,PSDB,12828,centro
DR HEBER,GUAXUPÉ,45730,ELEITO,45,PSDB,12663,centro
FÁBIO RAMALHO,LAGOA SECA,20672,ELEITO,45,PSDB,12466,centro
DUDA LEITE,POJUCA,38059,ELEITO,45,PSDB,12376,centro
CLÉCIO AZEVEDO,BOM JESUS,16330,ELEITO,45,PSDB,12306,centro
IVANILDINHO,SANTA CRUZ,18236,ELEITO,45,PSDB,12138,centro
LUIS HENRIQUE,JALES,65978,ELEITO,45,PSDB,12114,centro
ANDRÉ NEZZI,CAARAPÓ,90557,ELEITO,45,PSDB,12082,centro
MANGINI,CABREÚVA,62693,ELEITO,45,PSDB,11976,centro
CHICO GAMBA,ALTA FLORESTA,89877,ELEITO,45,PSDB,11739,centro
DR.EDSON,MIRASSOL,67075,ELEITO,45,PSDB,11708,centro
DR LUIZ,CAMPO LIMPO PAULISTA,62936,ELEITO,45,PSDB,11503,centro
ITAMAR BUENO,CRAVINHOS,63630,ELEITO,45,PSDB,11218,centro
